title,longitude,latitude,price,size,post_area,dist_to_city_center,link
"Rear of 504 North Circular Road, Dublin 1",-6.256319,53.358503,"99,950",N/A,Dublin 1,1.8844314001373357,http://www.daft.ie/for-sale/site-rear-of-504-north-circular-road-dublin-1/3422852
"51 Cherryfield Lawn, Clonsilla, Dublin 15",-6.422215,53.391963,"125,000",N/A,Dublin 15,11.630556987808214,http://www.daft.ie/for-sale/site-51-cherryfield-lawn-clonsilla-dublin-15/3483972
"Apartment 78, Block B, Newtown Court, Newtown Court Way, Coolock, Dublin 5",-6.184944,53.403664,"145,000",N/A,Dublin 5,8.69330378027072,http://www.daft.ie/for-sale/duplex-apartment-78-block-b-newtown-court-newtown-court-way-coolock-dublin-5/3433033
"Lot 2 24 Slademore Drive, Ard Na Greine, Ayrfield, Dublin 13",-6.18442,53.396648,"149,950",N/A,Dublin 13,8.125659322211272,http://www.daft.ie/for-sale/site-lot-2-24-slademore-drive-ard-na-greine-ayrfield-dublin-13/3451082
"52 Cedar Brook Way, Cherry Orchard, Dublin 22",-6.379388,53.337089,"150,000",N/A,Dublin 22,7.4629787612558,http://www.daft.ie/for-sale/apartment-52-cedar-brook-way-cherry-orchard-dublin-22/3155307
"The Green Isle Hotel, Naas Road, Balbriggan, Co. Dublin",-6.403676,53.309555,"150,000",N/A,Co. Dublin,9.780435316354898,http://www.daft.ie/for-sale/semi-detached-house-the-green-isle-hotel-naas-road-balbriggan-co-dublin/3198125
"18 The Crescent, Ongar Village, Ongar, Dublin 15",-6.439988,53.397278,"159,950",N/A,Dublin 15,12.948607089217349,http://www.daft.ie/for-sale/apartment-18-the-crescent-ongar-village-ongar-dublin-15/3164557
"14 Lower Rutland Street, Dublin 1",-6.2520833,53.3549054,"160,000",56,Dublin 1,1.6780010921145987,http://www.daft.ie/for-sale/end-of-terrace-house-14-lower-rutland-street-dublin-1/1523106
"Apartment 8, Curragh Hall House, Curragh Hall Crescent, Tyrrelstown, Dublin 15",-6.387787,53.41678,"160,000",42,Dublin 15,11.456408819566976,http://www.daft.ie/for-sale/apartment-apartment-8-curragh-hall-house-curragh-hall-crescent-tyrrelstown-dublin-15/3224194
"9 Summerhill Place, Dublin 1",-6.2518904,53.3551823,"160,000",56,Dublin 1,1.7102728167352876,http://www.daft.ie/for-sale/end-of-terrace-house-9-summerhill-place-dublin-1/2569601
"Apartment 7, Shangan Court, Shangan Road, Ballymun, Dublin 9",-6.257609,53.394439,"160,000",47,Dublin 9,5.76757345620256,http://www.daft.ie/for-sale/apartment-apartment-7-shangan-court-shangan-road-ballymun-dublin-9/3492174
"19 Saint Canice's Court, Cappagh Green, Finglas, Dublin 11",-6.317248,53.395815,"169,950",N/A,Dublin 11,6.749618414718474,http://www.daft.ie/for-sale/townhouse-19-saint-canices-court-cappagh-green-finglas-dublin-11/3441534
"35 Marlfield Close, Kiltipper, Tallaght, Dublin 24",-6.369625,53.270064,"170,000",N/A,Dublin 24,10.570074608280532,http://www.daft.ie/for-sale/apartment-35-marlfield-close-kiltipper-tallaght-dublin-24/3464564
"Apartment 14, Rosebank View, Ninth Lock Road, Clondalkin, Dublin 22",-6.393957,53.328435,"170,000",N/A,Dublin 22,8.555602128603637,http://www.daft.ie/for-sale/apartment-apartment-14-rosebank-view-ninth-lock-road-clondalkin-dublin-22/3461958
"Apartment 2, Mayeston Square, Finglas, Dublin 11",-6.28814,53.406425,"174,950",N/A,Dublin 11,7.196398103101684,http://www.daft.ie/for-sale/apartment-apartment-2-mayeston-square-finglas-dublin-11/1412282
"Apartment 92, Block B, é�ras Na Cluaine, Clondalkin, Dublin 22",-6.383183,53.327279,"175,000",N/A,Dublin 22,7.881573604781262,http://www.daft.ie/for-sale/apartment-apartment-92-block-b-ras-na-cluaine-clondalkin-dublin-22/3478307
"Apartment 103, Block A3, Geraldstown Woods, Santry, Dublin 9",-6.258334,53.400647,"175,000",N/A,Dublin 9,6.449279708563273,http://www.daft.ie/for-sale/apartment-apartment-103-block-a3-geraldstown-woods-santry-dublin-9/3494507
"68 Moynihan Court, Tallaght, Dublin 24",-6.350598,53.288416,"175,000",N/A,Dublin 24,8.200496961974537,http://www.daft.ie/for-sale/apartment-68-moynihan-court-tallaght-dublin-24/3435130
"91 The Gateway Student Village, Block F, Ballymun, Dublin 9",-6.262511,53.394709,"175,000",75,Dublin 9,5.770022315579875,http://www.daft.ie/for-sale/apartment-91-the-gateway-student-village-block-f-ballymun-dublin-9/2572419
"74 Eugene Street, Cork Street, The Coombe, Dublin 8",-6.286406,53.33599,"175,000",31,Dublin 8,1.4773639336242408,http://www.daft.ie/for-sale/terraced-house-74-eugene-street-cork-street-the-coombe-dublin-8/3425080
"Apartment 19, Grove Garden, Blanchardstown, Dublin 15",-6.393991,53.38716,"180,000",N/A,Dublin 15,9.735141017052156,http://www.daft.ie/for-sale/apartment-apartment-19-grove-garden-blanchardstown-dublin-15/3488624
"28 Cushlawn Park, Tallaght, Dublin 24",-6.37831,53.276514,"180,000",79,Dublin 24,10.430109979374745,http://www.daft.ie/for-sale/terraced-house-28-cushlawn-park-tallaght-dublin-24/3228356
"19 Rutland Cottages, Dublin 1",-6.25137,53.355048,"180,000",32,Dublin 1,1.71953004420294,http://www.daft.ie/for-sale/terraced-house-19-rutland-cottages-dublin-1/3415870
"147 Saint Margaret's Road, Finglas, Dublin 11",-6.287472,53.405949,"185,000",N/A,Dublin 11,7.136053231530951,http://www.daft.ie/for-sale/apartment-147-saint-margarets-road-finglas-dublin-11/3471674
"Apartment 98, Thornfield Square, Clondalkin, Dublin 22",-6.393667,53.324556,"185,000",72,Dublin 22,8.628733516928149,http://www.daft.ie/for-sale/apartment-apartment-98-thornfield-square-clondalkin-dublin-22/3491553
"Apartment 37, Block 3, Annaly Grove, Ongar, Dublin 15",-6.433211,53.391609,"185,000",55,Dublin 15,12.262249621974082,http://www.daft.ie/for-sale/apartment-apartment-37-block-3-annaly-grove-ongar-dublin-15/3475109
"Apartment 16, Block A, Thornfield Square, Clondalkin, Dublin 22",-6.393543,53.32412,"185,000",N/A,Dublin 22,8.63237462677455,http://www.daft.ie/for-sale/apartment-apartment-16-block-a-thornfield-square-clondalkin-dublin-22/3478325
"Apartment 14, Bellvue, Springfield, Tallaght, Dublin 24",-6.386862,53.289655,"185,000",N/A,Dublin 24,9.900828104773694,http://www.daft.ie/for-sale/apartment-apartment-14-bellvue-springfield-tallaght-dublin-24/3491013
"70 Fourth Avenue, North Wall, Dublin 1",-6.242834,53.352519,"189,000",46,Dublin 1,1.9501418035217453,http://www.daft.ie/for-sale/terraced-house-70-fourth-avenue-north-wall-dublin-1/3172070
"57 Grangeview Place, Clondalkin, Dublin 22",-6.4310499,53.3295527,"189,000",N/A,Dublin 22,10.96666985330967,http://www.daft.ie/for-sale/apartment-57-grangeview-place-clondalkin-dublin-22/3496160
"106 Aras Na Cluaine, Clondalkin, Dublin 22",-6.382064,53.327768,"189,000",N/A,Dublin 22,7.797161099915757,http://www.daft.ie/for-sale/apartment-106-aras-na-cluaine-clondalkin-dublin-22/3450568
"Apartment 5, Rosebank View, Ninth Lock Road, Clondalkin, Dublin 22",-6.393957,53.328435,"189,950",67,Dublin 22,8.555602128603637,http://www.daft.ie/for-sale/apartment-apartment-5-rosebank-view-ninth-lock-road-clondalkin-dublin-22/2631425
"9 Cloonmore Green, Tallaght, Dublin 24",-6.400997,53.280455,"190,000",105,Dublin 24,11.268858303904844,http://www.daft.ie/for-sale/terraced-house-9-cloonmore-green-tallaght-dublin-24/3456881
"Apartment 10, Coultry Neighbourhood Centre, Santry, Dublin 9",-6.256362,53.398737,"190,000",55,Dublin 9,6.251826580813568,http://www.daft.ie/for-sale/apartment-apartment-10-coultry-neighbourhood-centre-santry-dublin-9/2831608
"Apartment 6, Bow Bridge House, Bow Bridge, Kilmainham, Dublin 8",-6.296644,53.342143,"190,000",40,Dublin 8,1.9432366303140818,http://www.daft.ie/for-sale/apartment-apartment-6-bow-bridge-house-bow-bridge-kilmainham-dublin-8/3236322
"9 Marlfield Terrace, Tallaght, Kiltipper, Dublin 24",-6.371403,53.270934,"190,000",N/A,Dublin 24,10.572918621056697,http://www.daft.ie/for-sale/apartment-9-marlfield-terrace-tallaght-kiltipper-dublin-24/3480557
"Apt 11, 33 Main Street, Clongriffin, Dublin 13",-6.1537097,53.4024724,"190,000",46,Dublin 13,10.03811917009153,http://www.daft.ie/for-sale/apartment-apt-11-33-main-street-clongriffin-dublin-13/3448161
"Apartment 51, 109 Parnell Street, Dublin 1",-6.256968,53.353965,"190,000",37,Dublin 1,1.4118434779373963,http://www.daft.ie/for-sale/apartment-apartment-51-109-parnell-street-dublin-1/3178896
"Apartment 51, The Plaza, Ballymun, Dublin 9",-6.263404,53.397081,"190,000",55,Dublin 9,6.030482488193437,http://www.daft.ie/for-sale/apartment-apartment-51-the-plaza-ballymun-dublin-9/3483428
"48 Belfry Grove, Citywest, Co. Dublin",-6.412348,53.275122,"190,000",N/A,Co. Dublin,12.228661136073312,http://www.daft.ie/for-sale/apartment-48-belfry-grove-citywest-co-dublin/3480685
